names,overview,TV_Movie,Adventure,Comedy,Fantasy,Romance,Family,History,Documentary,War,Crime,Drama,Horror,Thriller,Animation,Action,Science_Fiction,Mystery,Western,Music
The Sorcerer's Apprentice,"Balthazar Blake is a master sorcerer in modern-day Manhattan trying to defend the city from his arch-nemesis, Maxim Horvath. Balthazar can't do it alone, so he recruits Dave Stutler, a seemingly average guy who demonstrates hidden potential, as his reluctant protégé. The sorcerer gives his unwilling accomplice a crash course in the art and science of magic, and together, these unlikely partners work to stop the forces of darkness.",0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
With Aunt It's Not a Sin,"The rich Gloria, resident for years in the United States, returns to live in her native country in Sicily, where she is welcomed by her sister-in-law, widow Antonia and her son Saro. The beautiful Gloria does not fail to arouse particular interest in the inhabitants of the place, especially in a building speculator, the engineer De Vita, who intends at all costs to get hold Gloria's land. She will be able to seduce the man, and then allow herself to the sister-in-law and the nephew before leaving for the USA.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Being John Malkovich,"One day at work, unsuccessful puppeteer Craig finds a portal into the head of actor John Malkovich. The portal soon becomes a passion for anybody who enters its mad and controlling world of overtaking another human body.",0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Oz the Great and Powerful,"Oscar Diggs, a small-time circus illusionist and con-artist, is whisked from Kansas to the Land of Oz where the inhabitants assume he's the great wizard of prophecy, there to save Oz from the clutches of evil.",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Hatching,"12 year old Tinja is desperate to please her mother, a woman obsessed with presenting the image of a perfect family. One night, Tinja finds a strange egg. What hatches is beyond belief.",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Detective Dee: The Four Heavenly Kings,"Dee, the detective serving Chinese empress Wu Zetian, is called upon to investigate a series of strange events in Loyang, including the appearance of mysterious warriors wearing Chiyou ghost masks, foxes that speak human language and the pillar sculptures in the palace coming alive.",0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Getaway,"Former race car driver Brent Magna is pitted against the clock. Desperately trying to save the life of his kidnapped wife, Brent commandeers a custom Ford Shelby GT500 Super Snake, taking it and its unwitting owner on a high-speed race against time, at the command of the mysterious villain holding his wife hostage.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Monster High: Electrified,"When Clawdeen dreams of opening a salon made for monsters and normies, Frankie has the perfect place - an abandoned power station outside town. But the idea sparks negative voltage when Moanica plots to ruin the whole thing, and replace the celebration with something a little more... shocking! Luckily the ghouls have a secret weapon on their side...Twyla, the daughter of the Boogey Man, and the perfect ghoul to unearth any mystery. Along with the most voltageous salon ever! So catch every twist, turn, zap and blast...because the Monster High ghouls are about to get ELECTRIC!",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Work It,A brilliant but clumsy high school senior vows to get into her late father's alma mater by transforming herself and a misfit squad into dance champions.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ronaldo,"Filmed over 14 months with unprecedented access into the inner circle of the man and the sport, this is the first official and fully authorised film of one of the most celebrated figures in football.  For the first time ever, the world gets vividly candid and un-paralleled, behind-closed-doors access to the footballer, father, family-man and friend in this moving & fascinating documentary. Through in-depth conversations, state of the art football footage and never before seen archival footage, the film gives an astonishing insight into the sporting and personal life of triple Ballon D'Or winner Cristiano Ronaldo at the peak of his career.  From the makers of ‘Senna’ and ‘Amy’, Ronaldo takes audiences on an intimate and revealing journey of what it’s like to live as an iconic athlete in the eye of the storm.",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Meet Cute,"A wildly inventive deconstruction of the romantic comedy built around the question: What would you do if you could travel to your loved ones’ past, heal their traumas, fix their problems, and change them into the perfect partner?",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Seven Year Itch,"With his family away for their annual summer holiday, a publishing executive decides to live a bachelor's life. The beautiful but ditzy blonde from the apartment above catches his eye and they soon start spending time together—maybe a little too much time!",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Porno,We don't have an overview translated in English. Help us expand our database by adding one.,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marvel Studios Assembled: The Making of She-Hulk: Attorney at Law,"Join the likes of Tatiana Maslany, Mark Ruffalo, Tim Roth, and Benedict Wong as they reveal how Marvel Studios’ She-Hulk: Attorney at Law was conceived and shaped. Discover what it took for She-Hulk’s creators to pull off the show’s tricky tone and deliver Marvel Studios’ first truly comedic series – one that boldly breaks the fourth wall to acknowledge its own audience, no less!",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Call of the Blonde Goddess,"Susan arrives in Haiti to live with her husband Jack, who lives with a lesbian housekeeper and Olga, a nymphomaniac platinum blonde, introduced to her as Jack's sister. Susan begins to have nightmares about voodoo ceremonies and murder.",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Girl in the Box,"A hitchhiking woman is abducted by a young couple and held captive for seven years, during which time she's tortured and forced to live as a slave to her captors.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1408,"A man who specializes in debunking paranormal occurrences checks into the fabled room 1408 in the Dolphin Hotel. Soon after settling in, he confronts genuine terror.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Suspiria,"Young American dancer Susie Bannion arrives in 1970s Berlin to audition for the world-renowned Helena Markos Dance Company. When she vaults to the role of lead dancer, the woman she replaces breaks down and accuses the company's female directors of witchcraft. Meanwhile, an inquisitive psychotherapist and a member of the troupe uncover dark and sinister secrets as they probe the depths of the studio's hidden underground chambers.",0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
This Boy's Life,"When a son and mother move to Seattle in hopes for a better life, the mother meets a seemingly polite man. Things go south when the man turns out to be abusive, endangering their lives. As the mother struggles to maintain hope in an impossible situation, the son has plans to escape.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
The Pelican Brief,"A law student's theory about the recent deaths of two Supreme Court justices embroils her in a far-reaching web of murder, corruption, and greed.",0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0
Gone with the Wind,The spoiled daughter of a Georgia plantation owner conducts a tumultuous romance with a cynical profiteer during the American Civil War and Reconstruction Era.,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
American Sicario,"The story of the rise and fall of the first American-born drug lord in Mexico, this tale of power, money, greed and betrayal amongst rival members of the drug cartels finds American gangster Erik Vasquez scheming to become the top dog in the Mexican underworld, only to find himself making enemies out of both the powerful cartels and his own allies.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Salma's Big Wish,"In the Mexican town of Santa Clara, Salma, a 16 year-old orphan who never got to meet her biological parents, has spent most of her life searching for clues of their identities and whereabouts, that is until she discovers a special book that is filled with stories of the town's past and the history of it's people.",0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Jerry & Marge Go Large,"The remarkable true story of how retiree Jerry Selbee discovers a mathematical loophole in the Massachusetts lottery and, with the help of his wife, Marge, wins $27 million dollars and uses the money to revive their small Michigan town.",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Last Christmas,"Kate is a young woman who has a habit of making bad decisions, and her last date with disaster occurs after she accepts work as Santa's elf for a department store. However, after she meets Tom there, her life takes a new turn.",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben-Hur: A Tale of the Christ,"Erstwhile childhood friends, Judah Ben-Hur and Messala meet again as adults, this time with Roman officer Messala as conqueror and Judah as a wealthy, though conquered, Israelite. A slip of a brick during a Roman parade causes Judah to be sent off as a galley slave, his property confiscated and his mother and sister imprisoned. Years later, as a result of his determination to stay alive and his willingness to aid his Roman master, Judah returns to his homeland an exalted and wealthy Roman athlete. Unable to find his mother and sister, and believing them dead, he can think of nothing else than revenge against Messala.",0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Winnie the Pooh: Springtime with Roo,"Spring has sprung, and baby Roo is excited to get out and explore and make new friends. But Rabbit seems preoccupied with spring cleaning, instead of embracing his usual role of playing Easter Bunny. Leave it to Roo to show Rabbit -- through love -- that it's more important who you love and not who's in charge.",0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
Pearl Harbor,"The lifelong friendship between Rafe McCawley and Danny Walker is put to the ultimate test when the two ace fighter pilots become entangled in a love triangle with beautiful Naval nurse Evelyn Johnson. But the rivalry between the friends-turned-foes is immediately put on hold when they find themselves at the center of Japan's devastating attack on Pearl Harbor on Dec. 7, 1941.",0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0
George of the Jungle 2,"George and Ursula now have a son, George Junior, so Ursula's mother arrives to try and take them back to ""civilization"".",0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Feels Like Euphoria,Monica and Lisa take their relationship to the next level despite one's patience and sexuality becoming in question.,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
The Twelve Tasks of Asterix,"Asterix and Obelix depart on an adventure to complete twelve impossible tasks to prove to Caesar that they are as strong as the Gods. You'll roar with laughter as they outwit, outrun, and generally outrage the very people who are trying to prove them ""only human"".",0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
The Treasure of the Sierra Madre,"Fred C. Dobbs and Bob Curtin, both down on their luck in Tampico, Mexico in 1925, meet up with a grizzled prospector named Howard and decide to join with him in search of gold in the wilds of central Mexico. Through enormous difficulties, they eventually succeed in finding gold, but bandits, the elements, and most especially greed threaten to turn their success into disaster.",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
A Quiet Place Part II,"Following the events at home, the Abbott family now face the terrors of the outside world. Forced to venture into the unknown, they realize that the creatures that hunt by sound are not the only threats that lurk beyond the sand path.",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Stop! Or My Mom Will Shoot,"A tough police sergeant's mother comes to visit him, and promptly starts trying to fix up his life, much to his embarrassment. For his birthday she buys him a machine gun out of the back of a van, and begins to further interfere with his job and love life, eventually helping him with a case he's on.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Mermaids,"Fifteen-year-old Charlotte Flax is tired of her wacky mom moving their family to a different town any time she feels it is necessary. When they move to a small Massachusetts town and Mrs. Flax begins dating a shopkeeper, Charlotte and her 9-year-old sister, Kate, hope that they can finally settle down. But when Charlotte's attraction to an older man gets in the way, the family must learn to accept each other for who they truly are.",0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Bent,"On his latest private investigation, a shamed former cop connects a murder case to a government conspiracy involving rogue agents from a top spy agency.",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Atonement,"As a 13-year-old, fledgling writer Briony Tallis irrevocably changes the course of several lives when she accuses her older sister's lover of a crime he did not commit.",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Doraemon: Nobita and the Tin Labyrinth,"Nobita's dad stumbled upon a strange advertisement of a fantastic resort on television at midnight. Sleepy as he was, he made a reservation even though he didn't even realize he was talking to the advertisement. The next day he discussed with the family their holiday plans, only to realize he could not find the place anywhere on earth. All of a sudden though there was a suitcase in Nobita's room and intrigued as he was, he opened it only to find a portal to a beautiful resort managed by tin robots. Better still, it's absolutely free. It seems that there is a hidden agenda behind the person who invites them there.",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Switch,"A story of how Park Kang’s life is changed on Christmas day.  Park Kang is a popular actor, but he is also a scandal maker. His manager is Jo Yoon and they are also long-time friends. One day, Park Kang’s ex-girlfriend Soo Hyun suddenly appears in front of Park Kang.",0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Romeo Is Bleeding,A corrupt cop gets in over his head when he tries to assassinate a beautiful Russian hit-woman.,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Elvis,"The life story of Elvis Presley as seen through the complicated relationship with his enigmatic manager, Colonel Tom Parker.",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
